"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 05- 01","1,246.00","1,288.90","1,315.30","1,242.20","279.47K","-3.86%"
"2014- 04- 01","1,296.00","1,284.60","1,331.40","1,268.40","2.25M","0.95%"
"2014- 03- 01","1,283.80","1,343.00","1,392.20","1,282.70","320.87K","-2.87%"
"2014- 02- 01","1,321.70","1,242.00","1,345.60","1,240.40","2.15M","6.61%"
"2014- 01- 01","1,239.80","1,212.10","1,279.20","1,212.10","285.63K","3.09%"
"2013- 12- 01","1,202.60","1,250.60","1,267.50","1,186.00","2.42M","-3.82%"
"2013- 11- 01","1,250.40","1,325.00","1,325.50","1,228.40","270.24K","-5.57%"
"2013- 10- 01","1,324.10","1,328.20","1,361.80","1,251.00","2.97M","-0.22%"
"2013- 09- 01","1,327.00","1,387.50","1,415.90","1,285.00","254.36K","-4.94%"
"2013- 08- 01","1,395.90","1,324.00","1,432.90","1,272.10","123.29K","6.35%"
"2013- 07- 01","1,312.60","1,235.30","1,347.40","1,208.70","24.68K","7.22%"
"2013- 06- 01","1,224.20","1,388.80","1,423.30","1,183.90","2.91M","-12.12%"
"2013- 05- 01","1,393.00","1,450.30","1,475.50","1,337.20","383.93K","-5.41%"
"2013- 04- 01","1,472.70","1,598.10","1,604.30","1,321.50","4.55M","-7.71%"
"2013- 03- 01","1,595.70","1,578.90","1,616.10","1,562.00","307.41K","1.06%"
"2013- 02- 01","1,578.90","1,665.20","1,687.00","1,554.30","2.96M","-5.00%"
"2013- 01- 01","1,662.00","1,675.80","1,697.10","1,630.00","350.11K","-0.89%"
